gene_id	chrom_start	chrom_end	description	gene_id	gene_synonym	gene
gene_00017	19350	19589	Ontology_term:GO:0035438, go_function:cyclic-di-GMP binding|0035438||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_015092855.1, product:PilZ domain-containing protein, protein_id:WP_011058406.1	HH203_RS00085		
gene_00018	19761	20078	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058407.1, product:tetratricopeptide repeat protein, protein_id:WP_011058407.1	HH203_RS00090		
gene_00019	20203	21576	Ontology_term:GO:0006813, Ontology_term:GO:0015079, Ontology_term:GO:0005886, gene:trkA, go_function:potassium ion transmembrane transporter activity|0015079||IEA, go_process:potassium ion transport|0006813||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_248706.1, product:Trk system potassium transporter TrkA, protein_id:WP_011058408.1	HH203_RS00095		trkA
gene_00020	21599	22924	Ontology_term:GO:0001510, Ontology_term:GO:0006355, Ontology_term:GO:0006364, Ontology_term:GO:0003723, Ontology_term:GO:0008649, gene:rsmB, go_function:RNA binding|0003723||IEA, go_function:rRNA methyltransferase activity|0008649||IEA, go_process:RNA methylation|0001510||IEA, go_process:regulation of DNA-templated transcription|0006355||IEA, go_process:rRNA processing|0006364||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_003170720.1, product:16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB, protein_id:WP_011058409.1	HH203_RS00100		rsmB
gene_00021	22921	23880	Ontology_term:GO:0006431, Ontology_term:GO:0004479, Ontology_term:GO:0005737, gene:fmt, go_function:methionyl-tRNA formyltransferase activity|0004479||IEA, go_process:methionyl-tRNA aminoacylation|0006431||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058410.1, product:methionyl-tRNA formyltransferase, protein_id:WP_011058410.1	HH203_RS00105		fmt
gene_00022	23950	24456	Ontology_term:GO:0036211, Ontology_term:GO:0042586, gene:def, go_function:peptide deformylase activity|0042586||IEA, go_process:protein modification process|0036211||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_248709.1, product:peptide deformylase, protein_id:WP_011058411.1	HH203_RS00110		def
gene_00023	24610	25620	Ontology_term:GO:0097367, go_function:carbohydrate derivative binding|0097367||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008076305.1, product:LysM domain-containing protein, protein_id:WP_011058412.1	HH203_RS00115		
gene_00024	25708	26814	Ontology_term:GO:0009294, gene:dprA, go_process:DNA-mediated transformation|0009294||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058413.1, product:DNA-processing protein DprA, protein_id:WP_011058413.1	HH203_RS00120		dprA
gene_00025	26869	27426	Ontology_term:GO:0006400, Ontology_term:GO:0061710, go_function:L-threonylcarbamoyladenylate synthase|0061710||IEA, go_process:tRNA modification|0006400||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058414.1, product:L-threonylcarbamoyladenylate synthase, protein_id:WP_011058414.1	HH203_RS00125		
gene_00026	27491	28468	Ontology_term:GO:0008270, Ontology_term:GO:0016491, go_function:zinc ion binding|0008270||IEA, go_function:oxidoreductase activity|0016491||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_248713.1, product:NADPH:quinone reductase, protein_id:WP_011058415.1	HH203_RS00130		
gene_00027	28636	29553	Ontology_term:GO:0006779, Ontology_term:GO:0004109, gene:hemF, go_function:coproporphyrinogen oxidase activity|0004109||IEA, go_process:porphyrin-containing compound biosynthetic process|0006779||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019095595.1, product:oxygen-dependent coproporphyrinogen oxidase, protein_id:WP_011058416.1	HH203_RS00135		hemF
gene_00028	29647	30468	Ontology_term:GO:0019632, Ontology_term:GO:0004764, gene:aroE, go_function:shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA, go_process:shikimate metabolic process|0019632||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058417.1, product:shikimate dehydrogenase, protein_id:WP_011058417.1	HH203_RS00140		aroE
gene_00029	30584	32152	Ontology_term:GO:0015103, Ontology_term:GO:0016020, go_function:inorganic anion transmembrane transporter activity|0015103||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_007948130.1, product:SulP family inorganic anion transporter, protein_id:WP_011058418.1	HH203_RS00145		
gene_00030	32253	33170	Ontology_term:GO:0015871, Ontology_term:GO:0015220, Ontology_term:GO:0055052, gene:choX, go_function:choline transmembrane transporter activity|0015220||IEA, go_process:choline transport|0015871||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019694436.1, product:choline ABC transporter substrate-binding protein, protein_id:WP_011058419.1	HH203_RS00150		choX
gene_00031	33188	34702	Ontology_term:GO:0008484, gene:betC, go_function:sulfuric ester hydrolase activity|0008484||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_017902527.1, product:choline-sulfatase, protein_id:WP_011058420.1	HH203_RS00155		betC
gene_00032	34817	35767	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633623.1, product:LysR family transcriptional regulator, protein_id:WP_011058421.1	HH203_RS00160		
gene_00033	35764	36429	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633624.1, product:NAD(P)H-binding protein, protein_id:WP_041774015.1	HH203_RS00165		
gene_00034	36512	36838	inference:COORDINATES: similar to AA sequence:RefSeq:WP_010465544.1, product:DOPA 4,5-dioxygenase family protein, protein_id:WP_011058423.1	HH203_RS00170		
gene_00035	36894	37337	inference:COORDINATES: similar to AA sequence:RefSeq:WP_016985547.1, product:anti-virulence regulator CigR family protein, protein_id:WP_011058424.1	HH203_RS00175		
gene_00036	37459	38271	Ontology_term:GO:0000162, Ontology_term:GO:0004834, gene:trpA, go_function:tryptophan synthase activity|0004834||IEA, go_process:tryptophan biosynthetic process|0000162||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008027744.1, product:tryptophan synthase subunit alpha, protein_id:WP_011058425.1	HH203_RS00180		trpA
gene_00037	38271	39491	Ontology_term:GO:0000162, Ontology_term:GO:0004834, gene:trpB, go_function:tryptophan synthase activity|0004834||IEA, go_process:tryptophan biosynthetic process|0000162||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_018927237.1, product:tryptophan synthase subunit beta, protein_id:WP_011058426.1	HH203_RS00185		trpB
gene_00038	39639	40532	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058427.1, product:LysR family transcriptional regulator, protein_id:WP_011058427.1	HH203_RS00190		
gene_00039	40529	40855	inference:COORDINATES: similar to AA sequence:RefSeq:WP_003170746.1, product:DUF883 family protein, protein_id:WP_011058428.1	HH203_RS00195		
gene_00040	41014	41229	Ontology_term:GO:0000166, go_function:nucleotide binding|0000166||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_248728.1, product:dodecin, protein_id:WP_011058429.1	HH203_RS00200		
gene_00041	41364	41588	inference:COORDINATES: similar to AA sequence:RefSeq:WP_003170748.1, product:DUF1161 domain-containing protein, protein_id:WP_011058430.1	HH203_RS00205		
gene_00042	41649	42650	Ontology_term:GO:0010181, Ontology_term:GO:0016491, go_function:FMN binding|0010181||IEA, go_function:oxidoreductase activity|0016491||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_016983454.1, product:LLM class flavin-dependent oxidoreductase, protein_id:WP_011058431.1	HH203_RS00210		
gene_00043	42891	43322	Ontology_term:GO:0006972, Ontology_term:GO:0006979, Ontology_term:GO:0033194, Ontology_term:GO:0004601, Ontology_term:GO:0051920, Ontology_term:GO:0005829, go_function:peroxidase activity|0004601||IEA, go_function:peroxiredoxin activity|0051920||IEA, go_process:hyperosmotic response|0006972||IEA, go_process:response to oxidative stress|0006979||IEA, go_process:response to hydroperoxide|0033194||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_010207768.1, product:OsmC family protein, protein_id:WP_011058432.1	HH203_RS00215		
gene_00044	43479	43712	inference:COORDINATES: similar to AA sequence:RefSeq:WP_003196417.1, product:DUF1161 domain-containing protein, protein_id:WP_011058433.1	HH203_RS00220		
gene_00045	43719	44138	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058434.1, product:hypothetical protein, protein_id:WP_011058434.1	HH203_RS00225		
gene_00046	44181	44594	inference:COORDINATES: similar to AA sequence:RefSeq:WP_008076191.1, product:hypothetical protein, protein_id:WP_011058435.1	HH203_RS00230		
gene_00047	44654	45763	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011331814.1, product:aminopeptidase, protein_id:WP_011058436.1	HH203_RS00235		
gene_00048	45792	46442	inference:COORDINATES: similar to AA sequence:RefSeq:WP_008008019.1, product:HAD family hydrolase, protein_id:WP_011058437.1	HH203_RS00240		
gene_00049	46471	47016	Ontology_term:GO:0046872, go_function:metal ion binding|0046872||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633633.1, product:gamma carbonic anhydrase family protein, protein_id:WP_011058438.1	HH203_RS00245		
gene_00050	47092	49170	Ontology_term:GO:0006508, Ontology_term:GO:0004222, gene:prlC, go_function:metalloendopeptidase activity|0004222||IEA, go_process:proteolysis|0006508||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_020301416.1, product:oligopeptidase A, protein_id:WP_019095604.1	HH203_RS00250		prlC
gene_00051	49167	49445	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058440.1, product:YheV family putative zinc ribbon protein, protein_id:WP_011058440.1	HH203_RS00255		
gene_00052	49565	50224	Ontology_term:GO:0004721, go_function:phosphoprotein phosphatase activity|0004721||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633635.1, product:tyrosine-protein phosphatase, protein_id:WP_011058441.1	HH203_RS00260		
gene_00053	50518	51273	inference:COORDINATES: similar to AA sequence:RefSeq:WP_017734718.1, product:gluconate 2-dehydrogenase subunit 3 family protein, protein_id:WP_011058442.1	HH203_RS00265		
gene_00054	51276	53060	Ontology_term:GO:0016491, go_function:oxidoreductase activity|0016491||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_250955.1, product:GMC family oxidoreductase, protein_id:WP_011058443.1	HH203_RS00270		
gene_00055	53073	54377	Ontology_term:GO:0009055, Ontology_term:GO:0020037, go_function:electron transfer activity|0009055||IEA, go_function:heme binding|0020037||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058444.1, product:cytochrome c, protein_id:WP_011058444.1	HH203_RS00275		
gene_00056	54423	54779	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633639.1, product:hypothetical protein, protein_id:WP_041774018.1	HH203_RS00280		
gene_00057	54979	56037	Ontology_term:GO:0003824, Ontology_term:GO:0051536, go_function:catalytic activity|0003824||IEA, go_function:iron-sulfur cluster binding|0051536||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_017341782.1, product:PA0069 family radical SAM protein, protein_id:WP_011058445.1	HH203_RS00285		
gene_00058	56281	57015	Ontology_term:GO:0004089, Ontology_term:GO:0008270, go_function:carbonate dehydratase activity|0004089||IEA, go_function:zinc ion binding|0008270||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019694460.1, product:carbonic anhydrase, protein_id:WP_011058446.1	HH203_RS00290		
gene_00059	57107	58642	Ontology_term:GO:0015103, Ontology_term:GO:0016020, go_function:inorganic anion transmembrane transporter activity|0015103||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633640.1, product:SulP family inorganic anion transporter, protein_id:WP_011058447.1	HH203_RS00295		
gene_00060	58726	59376	inference:COORDINATES: similar to AA sequence:RefSeq:WP_019694461.1, product:hypothetical protein, protein_id:WP_041774019.1	HH203_RS00300		
gene_00061	59750	60877	Ontology_term:GO:0004129, gene:coxB, go_function:cytochrome-c oxidase activity|0004129||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_007969821.1, product:cytochrome c oxidase subunit II, protein_id:WP_011058449.1	HH203_RS00305		coxB
gene_00062	60960	62555	Ontology_term:GO:0004129, gene:ctaD, go_function:cytochrome-c oxidase activity|0004129||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_248796.1, product:cytochrome c oxidase subunit I, protein_id:WP_011058450.1	HH203_RS00310		ctaD
gene_00063	62655	63212	inference:COORDINATES: similar to AA sequence:RefSeq:WP_018927259.1, product:cytochrome c oxidase assembly protein, protein_id:WP_011058451.1	HH203_RS00315		
gene_00064	63246	64133	inference:COORDINATES: similar to AA sequence:RefSeq:NP_248798.1, product:cytochrome c oxidase subunit 3, protein_id:WP_011058452.1	HH203_RS00320		
gene_00065	64140	64343	inference:COORDINATES: similar to AA sequence:RefSeq:WP_003170769.1, product:twin transmembrane helix small protein, protein_id:WP_011058453.1	HH203_RS00325		
gene_00066	64414	65154	inference:COORDINATES: similar to AA sequence:RefSeq:WP_007986177.1, product:SURF1 family protein, protein_id:WP_011058454.1	HH203_RS00330		
gene_00067	65120	65710	inference:COORDINATES: similar to AA sequence:RefSeq:WP_016978776.1, product:hypothetical protein, protein_id:WP_015633644.1	HH203_RS00335		
gene_00068	65721	66800	inference:COORDINATES: similar to AA sequence:RefSeq:WP_007940721.1, product:COX15/CtaA family protein, protein_id:WP_011058456.1	HH203_RS00340		
gene_00069	66788	67690	Ontology_term:GO:0006783, Ontology_term:GO:0008495, gene:cyoE, go_function:protoheme IX farnesyltransferase activity|0008495||IEA, go_process:heme biosynthetic process|0006783||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019362632.1, product:heme o synthase, protein_id:WP_011058457.1	HH203_RS00345		cyoE
gene_00070	67687	68322	inference:COORDINATES: similar to AA sequence:RefSeq:WP_009041520.1, product:SCO family protein, protein_id:WP_011058458.1	HH203_RS00350		
gene_00071	68506	69279	inference:COORDINATES: similar to AA sequence:RefSeq:NP_254192.1, product:MetQ/NlpA family ABC transporter substrate-binding protein, protein_id:WP_011058459.1	HH203_RS00355		
gene_00072	69339	70004	Ontology_term:GO:0048473, Ontology_term:GO:0033232, Ontology_term:GO:0042626, go_function:ABC-type D-methionine transporter activity|0033232||IEA, go_function:ATPase-coupled transmembrane transporter activity|0042626||IEA, go_process:D-methionine transport|0048473||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_254191.1, product:methionine ABC transporter permease, protein_id:WP_011058460.1	HH203_RS00360		
gene_00073	70004	71011	Ontology_term:GO:0048473, Ontology_term:GO:0005524, Ontology_term:GO:0016887, Ontology_term:GO:0033232, Ontology_term:GO:0042626, go_function:ATP binding|0005524||IEA, go_function:ATP hydrolysis activity|0016887||IEA, go_function:ABC-type D-methionine transporter activity|0033232||IEA, go_function:ATPase-coupled transmembrane transporter activity|0042626||IEA, go_process:D-methionine transport|0048473||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_254190.1, product:methionine ABC transporter ATP-binding protein, protein_id:WP_011058461.1	HH203_RS00365		
gene_00074	71227	73419	Ontology_term:GO:0006979, Ontology_term:GO:0004096, Ontology_term:GO:0020037, gene:katE, go_function:catalase activity|0004096||IEA, go_function:heme binding|0020037||IEA, go_process:response to oxidative stress|0006979||IEA, inference:COORDINATES: protein motif:HMM:NF008422.0, product:catalase HPII, protein_id:WP_225368716.1	HH203_RS00370		katE
gene_00075	73476	74195	inference:COORDINATES: similar to AA sequence:RefSeq:WP_020295031.1, product:PA5502 family lipoprotein, protein_id:WP_011058463.1	HH203_RS00375		
gene_00076	74233	75021	Ontology_term:GO:0055085, Ontology_term:GO:0042626, gene:znuB, go_function:ATPase-coupled transmembrane transporter activity|0042626||IEA, go_process:transmembrane transport|0055085||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_254188.1, product:zinc ABC transporter permease subunit ZnuB, protein_id:WP_011058464.1	HH203_RS00380		znuB
gene_00077	75014	75799	Ontology_term:GO:0006829, Ontology_term:GO:0005524, Ontology_term:GO:0015633, gene:znuC, go_function:ATP binding|0005524||IEA, go_function:ABC-type zinc transporter activity|0015633||IEA, go_process:zinc ion transport|0006829||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_017849021.1, product:zinc ABC transporter ATP-binding protein ZnuC, protein_id:WP_011058465.1	HH203_RS00385		znuC
gene_00078	75799	76281	gene:zur, inference:COORDINATES: similar to AA sequence:RefSeq:WP_016978785.1, product:zinc uptake transcriptional repressor Zur, protein_id:WP_011058466.1	HH203_RS00390		zur
gene_00079	76348	77268	Ontology_term:GO:0046872, go_function:metal ion binding|0046872||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_003220316.1, product:zinc ABC transporter substrate-binding protein, protein_id:WP_041774020.1	HH203_RS00395		
gene_00080	77360	78310	Ontology_term:GO:0009088, Ontology_term:GO:0004413, go_function:homoserine kinase activity|0004413||IEA, go_process:threonine biosynthetic process|0009088||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008002196.1, product:homoserine kinase, protein_id:WP_011058468.1	HH203_RS00400		
gene_00081	78376	78663	inference:COORDINATES: similar to AA sequence:RefSeq:NP_254181.1, product:DUF2782 domain-containing protein, protein_id:WP_011058469.1	HH203_RS00405		
gene_00082	78738	81527	Ontology_term:GO:0006261, Ontology_term:GO:0003676, Ontology_term:GO:0003677, Ontology_term:GO:0003887, Ontology_term:GO:0008408, gene:polA, go_function:nucleic acid binding|0003676||IEA, go_function:DNA binding|0003677||IEA, go_function:DNA-directed DNA polymerase activity|0003887||IEA, go_function:3'-5' exonuclease activity|0008408||IEA, go_process:DNA-templated DNA replication|0006261||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_254180.1, product:DNA polymerase I, protein_id:WP_011058470.1	HH203_RS00410		polA
gene_00083	81943	82584	Ontology_term:GO:0042254, Ontology_term:GO:0003924, Ontology_term:GO:0005525, Ontology_term:GO:0043022, Ontology_term:GO:0005737, gene:yihA, go_function:GTPase activity|0003924||IEA, go_function:GTP binding|0005525||IEA, go_function:ribosome binding|0043022||IEA, go_process:ribosome biogenesis|0042254||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_254179.1, product:ribosome biogenesis GTP-binding protein YihA/YsxC, protein_id:WP_011058471.1	HH203_RS00415		yihA
gene_00084	82776	83066	Ontology_term:GO:0009055, Ontology_term:GO:0020037, go_function:electron transfer activity|0009055||IEA, go_function:heme binding|0020037||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_020295040.1, product:c-type cytochrome, protein_id:WP_015633654.1	HH203_RS00420		
gene_00085	83112	83717	Ontology_term:GO:0009055, Ontology_term:GO:0020037, go_function:electron transfer activity|0009055||IEA, go_function:heme binding|0020037||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_254177.1, product:c-type cytochrome, protein_id:WP_011058472.1	HH203_RS00425		
gene_00086	83915	84544	Ontology_term:GO:0015035, go_function:protein-disulfide reductase activity|0015035||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_010951523.1, product:thiol:disulfide interchange protein DsbA/DsbL, protein_id:WP_011058473.1	HH203_RS00430		
gene_00087	84557	85435	Ontology_term:GO:0003824, go_function:catalytic activity|0003824||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019694486.1, product:endonuclease/exonuclease/phosphatase family protein, protein_id:WP_011058474.1	HH203_RS00435		
gene_00088	85432	87615	Ontology_term:GO:0009966, Ontology_term:GO:0009975, go_function:cyclase activity|0009975||IEA, go_process:regulation of signal transduction|0009966||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633655.1, product:GGDEF domain-containing protein, protein_id:WP_011058475.1	HH203_RS00440		
gene_00089	87717	88496	Ontology_term:GO:0071555, Ontology_term:GO:0008270, Ontology_term:GO:0008745, go_function:zinc ion binding|0008270||IEA, go_function:N-acetylmuramoyl-L-alanine amidase activity|0008745||IEA, go_process:cell wall organization|0071555||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019580305.1, product:N-acetylmuramoyl-L-alanine amidase, protein_id:WP_011058476.1	HH203_RS00445		
gene_00090	88573	90192	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633657.1, product:EAL domain-containing protein, protein_id:WP_011058477.1	HH203_RS00450		
gene_00091	90197	91981	inference:COORDINATES: similar to AA sequence:RefSeq:WP_003170797.1, product:KinB sensor domain-containing domain, protein_id:WP_011058478.1	HH203_RS00455		
gene_00092	91992	93338	gene:algB, inference:COORDINATES: similar to AA sequence:RefSeq:NP_254170.1, product:sigma-54-dependent response regulator transcription factor AlgB, protein_id:WP_011058479.1	HH203_RS00460		algB
gene_00093	93780	94064	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633659.1, product:hypothetical protein, protein_id:WP_011058480.1	HH203_RS00465		
gene_00094	94146	94310	inference:COORDINATES: similar to AA sequence:RefSeq:NP_254169.1, product:DUF1328 domain-containing protein, protein_id:WP_003170804.1	HH203_RS00470		
gene_00095	94313	94780	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058481.1, product:inhibitor of vertebrate lysozyme family protein, protein_id:WP_011058481.1	HH203_RS00475		
gene_00096	95526	96857	Ontology_term:GO:0006835, Ontology_term:GO:0015293, Ontology_term:GO:0016020, gene:gltP, go_function:symporter activity|0015293||IEA, go_process:dicarboxylic acid transport|0006835||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058482.1, product:glutamate/aspartate:proton symporter GltP, protein_id:WP_011058482.1	HH203_RS00480		gltP
gene_00097	97034	98263	inference:COORDINATES: similar to AA sequence:RefSeq:WP_009403410.1, product:spore maturation protein, protein_id:WP_011058483.1	HH203_RS00485		
gene_00098	98336	98965	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058484.1, product:ABC-type transport auxiliary lipoprotein family protein, protein_id:WP_011058484.1	HH203_RS00490		
gene_00099	98962	99900	Ontology_term:GO:0015914, go_process:phospholipid transport|0015914||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_003170814.1, product:MlaD family protein, protein_id:WP_011058485.1	HH203_RS00495		
gene_00100	99902	100705	Ontology_term:GO:0005524, go_function:ATP binding|0005524||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_017902670.1, product:ATP-binding cassette domain-containing protein, protein_id:WP_011058486.1	HH203_RS00500		
gene_00101	100702	101850	Ontology_term:GO:0042626, Ontology_term:GO:0140359, go_function:ATPase-coupled transmembrane transporter activity|0042626||IEA, go_function:ABC-type transporter activity|0140359||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_010168671.1, product:ABC transporter permease, protein_id:WP_011058487.1	HH203_RS00505		
gene_00102	101905	102948	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633662.1, product:DUF5924 family protein, protein_id:WP_015633662.1	HH203_RS00510		
gene_00103	103128	104510	inference:COORDINATES: similar to AA sequence:RefSeq:WP_019095625.1, product:insulinase family protein, protein_id:WP_011058489.1	HH203_RS00515		
