gene_callers_id	chrom_start	chrom_end	COG_accession	COG_function	KO_accession	KEGG_function
18	19760	20078	COG4783	Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)		
19	20202	21576	COG0569	Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain (TrkA) (PDB:4XTT) (PUBMED:23815639;25957408;31868587;32095817)	K03499	trk/ktr system potassium uptake protein
20	21598	22924	COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family (RsmB) (PDB:2FRX)	K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
21	22920	23880	COG0223	Methionyl-tRNA formyltransferase (Fmt) (PDB:1FMT)	K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]
22	23949	24591	COG0242	Peptide deformylase (Def) (PDB:1BS4)	K01462	peptide deformylase [EC:3.5.1.88]
23	24609	25620	COG1652	Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain (XkdP) (PDB:5FIM) (PUBMED:27112601)		
24	25707	26814	COG0758	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake (Smf) (PDB:3MAJ)	K04096	DNA processing protein
25	26868	27426	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC (TsaC) (PDB:1HRU)	K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
26	27490	28468	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY)	K00344	NADPH:quinone reductase [EC:1.6.5.5]
27	28635	29553	COG0408	Coproporphyrinogen-III oxidase HemH, oxygen-dependent (HemF) (PDB:3E8J)	K00228	coproporphyrinogen III oxidase [EC:1.3.3.3]
28	29646	30468	COG0169	Shikimate 5-dehydrogenase (AroE) (PDB:1NPD)	K00014	shikimate dehydrogenase [EC:1.1.1.25]
29	30583	32152	COG0659	Sulfate permease or related transporter, MFS superfamily (SUL1) (PDB:3NY7)	K03321	sulfate permease, SulP family
30	32252	33170	COG2113	ABC-type proline/glycine betaine transport system, periplasmic component (ProX) (PDB:1R9L)	K02002	glycine betaine/proline transport system substrate-binding protein
31	33187	34702	COG3119	Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)	K01133	choline-sulfatase [EC:3.1.6.6]
32	34816	35767	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator
33	35763	36429	COG2910	Putative NADH-flavin reductase (YwnB) (PDB:3EW7)	K07118	uncharacterized protein
34	36511	36838	COG3805	Aromatic ring-cleaving dioxygenase (DodA) (PDB:2NYH)		
35	36893	37337	COG5455	Periplasmic regulator RcnB of Ni and Co efflux (RcnB) (PDB:2L1S)		
36	37458	38271	COG0159	Tryptophan synthase alpha chain (TrpA) (PDB:6HUL)	K01695	tryptophan synthase alpha chain [EC:4.2.1.20]
37	38270	39491	COG0133	Tryptophan synthase beta chain (TrpB) (PDB:2DH5)	K01696	tryptophan synthase beta chain [EC:4.2.1.20]
38	39638	40532	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator
39	40528	40855	COG4575	Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family (ElaB)	K05594	ElaB protein
40	41013	41229	COG3360	Flavin-binding protein dodecin (PDB:1MOG) (PUBMED:12679016)	K09165	dodecin
41	41363	41588				
42	41648	42650	COG2141	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)		
43	42890	43322	COG1764	Organic hydroperoxide reductase OsmC/OhrA (OsmC) (PDB:1QWI)	K04063	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]
44	43478	43712				
45	43718	44138				
46	44180	44594				
47	44719	45763	COG4324	Predicted aminopeptidase		
48	45791	46442	COG0546	Phosphoglycolate phosphatase, HAD superfamily (Gph) (PDB:2NYV)	K01091	phosphoglycolate phosphatase [EC:3.1.3.18]
49	46470	47016	COG0663	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily (PaaY) (PDB:6IVE)	K01726	gamma-carbonic anhydrase [EC:4.2.1.-]
50	47091	49170	COG0339	Zn-dependent oligopeptidase, M3 family (Dcp) (PDB:5L43) (PUBMED:25239919;31422053)	K01414	oligopeptidase A [EC:3.4.24.70]
51	49166	49445	COG3529	Predicted nucleic-acid-binding protein, contains Zn-ribbon domain	K07070	uncharacterized protein
52	49564	50224	COG2365	Protein tyrosine/serine phosphatase Oca4 (Oca4) (PDB:1XRI)		
53	50517	51273	COG2303	Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)	K06152	gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3]
54	51275	53060	COG2303	Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)	K06151	gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3]
55	53072	54377	COG2010	Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)	K22474	alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]
56	54422	54779				
57	54978	56037	COG1533	DNA repair photolyase (SplB)		
58	56280	57015	COG0288	Carbonic anhydrase (CynT) (PDB:1EKJ) (PUBMED:22081392)	K01673	carbonic anhydrase [EC:4.2.1.1]
59	57106	58642	COG0659	Sulfate permease or related transporter, MFS superfamily (SUL1) (PDB:3NY7)	K03321	sulfate permease, SulP family
60	58725	59376				
61	59749	60877	COG1622!!!COG2010	Heme/copper-type cytochrome/quinol oxidase, subunit 2 (CyoA) (PDB:1CYW)!!!Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)	K02275	cytochrome c oxidase subunit II [EC:7.1.1.9]
62	60959	62555	COG0843	Heme/copper-type cytochrome/quinol oxidase, subunit 1 (CyoB) (PDB:1AR1)	K02274	cytochrome c oxidase subunit I [EC:7.1.1.9]
63	62654	63212	COG3175	Cytochrome c oxidase assembly protein Cox11 (COX11) (PDB:1SO9)	K02258	cytochrome c oxidase assembly protein subunit 11
64	63245	64133	COG1845	Heme/copper-type cytochrome/quinol oxidase, subunit 3 (CyoC) (PDB:1QLE)	K02276	cytochrome c oxidase subunit III [EC:7.1.1.9]
65	64139	64343				
66	64413	65154	COG3346	Cytochrome oxidase assembly protein ShyY1 (Shy1)	K14998	surfeit locus 1 family protein
67	65119	65710	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family (Sco1) (PDB:1ON4)		
68	65720	66800	COG1612	Heme A synthase (CtaA) (PDB:6A2J)	K02259	heme a synthase [EC:1.17.99.9]
69	66787	67690	COG0109	Polyprenyltransferase (heme O synthase) (CyoE)	K02257	heme o synthase [EC:2.5.1.141]
70	67686	68322	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family (Sco1) (PDB:1ON4)	K07152	protein SCO1
71	68505	69279	COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen (NlpA) (PDB:1P99)	K02073	D-methionine transport system substrate-binding protein
72	69338	70004	COG2011	ABC-type methionine transport system, permease component (MetP) (PDB:6CVL)	K02072	D-methionine transport system permease protein
73	70003	71011	COG1135	ABC-type methionine transport system, ATPase component (AbcC) (PDB:6CVL)	K02071	D-methionine transport system ATP-binding protein
74	71280	73419	COG0693!!!COG0753	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)!!!Catalase (KatE) (PDB:6RJR)	K03781	catalase [EC:1.11.1.6]
75	73475	74195				
76	74232	75021	COG1108	ABC-type Mn2+/Zn2+ transport system, permease component (ZnuB)	K09816	zinc transport system permease protein
77	75013	75799	COG1121	ABC-type Mn2+/Zn2+ transport system, ATPase component (ZnuC)	K09817	zinc transport system ATP-binding protein [EC:7.2.2.20]
78	75798	76281	COG0735	Fe2+ or Zn2+ uptake regulation protein Fur/Zur (Fur) (PDB:1MZB)	K09823	Fur family transcriptional regulator, zinc uptake regulator
79	76347	77268	COG4531	ABC-type Zn2+ transport system, periplasmic component/surface adhesin ZnuA (ZnuA) (PDB:2OGW)	K09815	zinc transport system substrate-binding protein
80	77359	78310	COG2334	Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist (SrkA) (PDB:1ZYL)	K02204	homoserine kinase type II [EC:2.7.1.39]
81	78375	78663	COG3111	Predicted periplasmic protein YdeI with OB-fold, BOF family (YdeI) (PDB:1NNX) (PUBMED:15178340)		
82	78737	81527	COG0258!!!COG0749	5'-3' exonuclease Xni/ExoIX (flap endonuclease) (ExoIX) (PDB:3ZDA) (PUBMED:19000038;23821668)!!!DNA polymerase I, 3'-5' exonuclease and polymerase domains (PolA) (PDB:1D8Y)	K02335	DNA polymerase I [EC:2.7.7.7]
83	81942	82584	COG0218	GTP-binding protein EngB required for normal cell division (EngB) (PDB:5UCV)	K03978	GTP-binding protein
84	82775	83066	COG3245	Cytochrome c5 (CytC5) (PDB:1CC5)		
85	83111	83717	COG2863	Cytochrome c553 (CytC553) (PDB:6Q2U)	K17230	cytochrome subunit of sulfide dehydrogenase
86	83914	84544	COG2761	Predicted dithiol-disulfide isomerase, DsbA/YjbH family (virulence, stress resistance) (FrnE) (PDB:6GHB)	K03673	protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]
87	84556	85435	COG3568	Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family (ElsH) (PUBMED:15178340)		
88	85431	87615	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)	K13590	diguanylate cyclase [EC:2.7.7.65]
89	87716	88496	COG3023	N-acetyl-anhydromuramyl-L-alanine amidase AmpD (AmpD) (PDB:2Y28)	K11066, K01447	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28], N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
90	88572	90192	COG4943	Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains (YjcC) (PUBMED:29514851)	K26148	c-di-GMP phosphodiesterase [EC:3.1.4.52]
91	90196	91981	COG5002	Sensor histidine kinase WalK (WalK) (PDB:4I5S)	K11383	two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]
92	91991	93338	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2)	K11384	two-component system, NtrC family, response regulator AlgB
93	93779	94064				
94	94145	94310	COG5487	Uncharacterized membrane protein YtjA, UPF0391 family (YtjA)		
95	94312	94780				
96	95348	95492				
97	95525	96857	COG1301	Na+/H+-dicarboxylate symporter (GltP) (PDB:1XFH)	K11102	proton glutamate symport protein
98	97033	98263	COG0700!!!COG2715	Spore maturation protein SpmB (function unknown) (SpmB)!!!Spore maturation protein SpmA (function unknown) (SpmA)	K06374, K06373	spore maturation protein B, spore maturation protein A
99	98335	98965	COG3218	ABC-type uncharacterized transport system, auxiliary component (PDB:2IQI)	K18480	cholesterol transport system auxiliary component
100	98961	99900	COG1463	Periplasmic subunit MlaD of the ABC-type intermembrane phospholipid transporter Mla (MlaD) (PDB:5UW8)	K02067	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
101	99901	100705	COG1127	ATPase subunit MlaF of the ABC-type intermembrane phospholipid transporter Mla (MlaF) (PDB:6IC4)	K02065	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
102	100701	101850	COG0767	Permease subunit MlaE of the ABC-type intermembrane phospholipid transporter Mla (MlaE) (PDB:6IC4)	K02066	phospholipid/cholesterol/gamma-HCH transport system permease protein
103	101904	102948				
104	103127	104510	COG0612	Predicted Zn-dependent peptidase, M16 family (PqqL) (PDB:6OFS)		
105	104566	106225	COG1283	Na+/phosphate symporter (NptA)	K03324	phosphate:Na+ symporter
106	106441	107209	COG0861	Tellurite resistance membrane protein TerC (TerC)		
107	107276	108584	COG2851	Mg2+/citrate symporter (CitM)	K03300	citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family
108	108903	109305	COG3791	Uncharacterized conserved protein (PDB:1X6M)		
109	109416	111378	COG3228	Mlc titration factor MtfA, regulates ptsG expression (MtfA) (PDB:3DL1) (PUBMED:16855233)		
110	111374	111695				
111	111722	112025				
112	112134	112452				
113	112619	112808	COG5457	Uncharacterized conserved protein YjiS, DUF1127 family (YjiS)		
114	113091	113307	COG5457	Uncharacterized conserved protein YjiS, DUF1127 family (YjiS)		
115	113626	115120	COG0427	Propionyl CoA:succinate CoA transferase (ACH1) (PDB:2G39) (PUBMED:10769117)	K18118	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
116	115299	116736	COG1282	NAD/NADP transhydrogenase beta subunit (PntB) (PDB:1D4O)	K00325	H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
117	116735	117059	COG3288	NAD/NADP transhydrogenase alpha subunit (PntA) (PDB:1F8G)		
118	117074	118196	COG3288	NAD/NADP transhydrogenase alpha subunit (PntA) (PDB:1F8G)	K00324	H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
119	118647	119547	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator
120	119706	120888	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	K00252	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
121	120901	122122	COG1804	Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)	K01041	glutaryl-CoA transferase [EC:2.8.3.-]
122	124108	124318				
123	128126	129308	COG3182	PepSY-associated TM region (PiuB) (PUBMED:15124630)		
124	129379	131872	COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid (FhuE) (PDB:3EFM)	K02014	iron complex outermembrane recepter protein
125	131971	132976	COG3712	Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport (FecR) (PDB:5CAM)	K07165	transmembrane sensor
126	132981	133482	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	K23514, K03088	RNA polymerase sigma-19 factor, ECF subfamily, RNA polymerase sigma-70 factor, ECF subfamily
127	133796	135677	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	K03406	methyl-accepting chemotaxis protein
128	135742	136507	COG3208	Surfactin synthase thioesterase subunit (GrsT) (PDB:6VAP)		
129	136797	137490	COG3672	Predicted transglutaminase-like protein (PDB:4FGO)		
130	137504	139451	COG2199!!!COG2200	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)	K18765	RNase E specificity factor CsrD
131	139544	139883				
132	140044	144976	COG2931	Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)	K01406	serralysin [EC:3.4.24.40]
133	147141	148290	COG2931	Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)		
134	148282	148846	COG2931	Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)		
135	148784	149486	COG2931	Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)		
136	149478	151653	COG2931	Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)		
137	152014	153367	COG1538	Outer membrane protein TolC (TolC) (PDB:1EK9)	K12543	outer membrane protein, adhesin transport system
138	153405	155559	COG2274	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain (SunT) (PDB:3K8U)	K12541	ATP-binding cassette, subfamily C, bacterial LapB
139	155548	156916	COG1566	Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)	K12542	membrane fusion protein, adhesin transport system
140	157199	158087	COG2175	Taurine dioxygenase, alpha-ketoglutarate-dependent (TauD) (PDB:1DRT)		
141	158114	159152	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component (TauA) (PDB:2X26)	K15553	sulfonate transport system substrate-binding protein
142	159157	160018	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB)	K15555	sulfonate transport system ATP-binding protein [EC:7.6.2.14]
143	160051	160918	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC)	K02050	NitT/TauT family transport system permease protein
144	161133	162060	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K14657	LysR family transcriptional regulator, nod-box dependent transcriptional activator
145	162236	163781	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K03446	MFS transporter, DHA2 family, multidrug resistance protein
146	163795	164866	COG1566	Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)	K03543	membrane fusion protein, multidrug efflux system
147	164862	166344	COG1538	Outer membrane protein TolC (TolC) (PDB:1EK9)	K18904	outer membrane protein, multidrug efflux system
148	166414	166924	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	K23514, K03088	RNA polymerase sigma-19 factor, ECF subfamily, RNA polymerase sigma-70 factor, ECF subfamily
149	166920	167874	COG3712	Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport (FecR) (PDB:5CAM)	K07165	transmembrane sensor
150	167972	170438	COG1629	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)	K02014	iron complex outermembrane recepter protein
151	171664	172117				
152	172107	174300				
153	174626	176237	COG5305	Uncharacterized membrane protein PF0508, contains N-terminal glycosyltransferase domain of PMT family	K14340	mannosyltransferase [EC:2.4.1.-]
154	176346	176808	COG2606	Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC (EbsC) (PDB:1DBU)	K19055	Ala-tRNA(Pro) deacylase [EC:3.1.1.-]
155	176822	177068	COG0431	NAD(P)H-dependent FMN reductase (SsuE) (PDB:6DQI)		
156	177810	178239	COG1846	DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)	K06075	MarR family transcriptional regulator, transcriptional regulator for hemolysin
157	178235	180323	COG1289	Uncharacterized membrane protein YccC (YccC)	K03468	p-hydroxybenzoic acid efflux pump subunit AaeB
158	180319	180529			K21695	protein AaeX
159	180525	181416	COG1566	Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)		
160	181412	182861	COG1538	Outer membrane protein TolC (TolC) (PDB:1EK9)		
161	182954	183590				
162	183813	185316	COG5339	Uncharacterized conserved protein YdgA, DUF945 family (YdgA)		
163	185591	188078	COG4783	Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)	K11935	biofilm PGA synthesis protein PgaA
164	188092	190090	COG0726	Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family (CDA1) (PDB:1NY1)	K11931	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]
165	190093	191443	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase (BcsA) (PDB:4HG6)	K11936	poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
166	191442	191967			K11937	biofilm PGA synthesis protein PgaD
167	192452	192770	COG2831	Hemolysin activation/secretion protein (FhaC) (PDB:2MHJ)		
168	193037	193571				
169	193586	193841				
170	194285	201932	COG2911	Autotransporter translocation and assembly protein TamB (TamB) (PDB:5VTG)	K15125	filamentous hemagglutinin
171	202223	202436			K19048	toxic protein SymE
172	202515	202905	COG1396	Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	K22300, K22299	HTH-type transcriptional regulator, cell division transcriptional repressor, HTH-type transcriptional regulator, competence development regulator
173	205509	205800				
174	206259	206814				
175	206974	207241				
176	207501	207780	COG2929	Uncharacterized conserved protein, DUF497 family (PDB:3U97)	K09803	uncharacterized protein
177	207757	208006	COG3514	Uncharacterized conserved protein, DUF4415 family	K09803	uncharacterized protein
178	208229	208790	COG1881	Uncharacterized conserved protein, phosphatidylethanolamine-binding protein (PEBP) family (PEBP) (PDB:1A44)		
179	208878	210627	COG2304	Secreted protein containing bacterial Ig-like domain and vWFA domain (YfbK)	K07114	Ca-activated chloride channel homolog
180	210664	211246	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	K03088	RNA polymerase sigma-70 factor, ECF subfamily
181	211242	211926				
182	211998	212184				
183	212202	212667				
184	212650	213502				
185	213930	214473	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)		
186	214592	214820				
187	214844	215513				
188	215654	216212				
189	216325	216640				
190	216694	217009				
191	217389	218832	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
192	219009	220287	COG0160	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase (ArgD) (PDB:1SF2)	K14268, K00823	5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19], 4-aminobutyrate aminotransferase [EC:2.6.1.19]
193	220425	221640	COG0745!!!COG1639	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!HD-like signal output (HDOD) domain, no enzymatic activity (HDOD) (PDB:1VQR)		
194	221734	222727	COG2199!!!COG2202	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!PAS domain (PAS) (PDB:2MWG)		
195	222943	224128	COG1398	Fatty-acid desaturase (OLE1) (PDB:4YMK)	K00507	stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
196	224274	226194	COG2202!!!COG5001	PAS domain (PAS) (PDB:2MWG)!!!Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain	K21084	diguanylate cyclase [EC:2.7.7.65]
197	226494	226677	COG5583	Uncharacterized conserved protein YezD		
198	226848	227859	COG1613	ABC-type sulfate transport system, periplasmic component (Sbp) (PDB:5UM2)	K23163	sulfate/thiosulfate transport system substrate-binding protein
199	228009	228828	COG0555	ABC-type sulfate transport system, permease component (CysU) (PDB:3D31)	K02046	sulfate/thiosulfate transport system permease protein
200	228840	229713	COG4208	ABC-type sulfate transport system, permease component (CysW)	K02047	sulfate/thiosulfate transport system permease protein
201	229716	230706	COG1118	ABC-type sulfate/molybdate transport systems, ATPase component (CysA)	K02045	sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]
202	230847	231372	COG4539	2-hydroxy fatty acid dioxygenase MPO1 (alpha-oxidation of fatty acids) (MPO1) (PUBMED:30530523)	K24121	2-hydroxy fatty acid dioxygenase [EC:1.14.18.12]
203	231474	232161	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases (Crp) (PDB:1FT9)	K10914	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein
204	232430	232841	COG2351	5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family (HiuH) (PDB:2IGL)	K07127	5-hydroxyisourate hydrolase [EC:3.5.2.17]
205	232940	233429	COG3193	Heme-binding protein HbpS, GlcG/HbpS family (GlcG) (PDB:2A2L) (PUBMED:19244623;25342754)	K11477	glc operon protein GlcG
206	233565	234246	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	K02483, K07665	two-component system, OmpR family, response regulator, two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR
207	234232	235621	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	K07644	two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]
208	235737	236820	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)		
209	236841	237990	COG3239	Fatty acid desaturase (DesA)		
210	237961	239572	COG3119	Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)	K01135	arylsulfatase B [EC:3.1.6.12]
211	239586	240402	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB)	K15555, K02049	sulfonate transport system ATP-binding protein [EC:7.6.2.14], NitT/TauT family transport system ATP-binding protein
212	240398	241994	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC)	K02050, K15554	NitT/TauT family transport system permease protein, sulfonate transport system permease protein
213	242362	243385	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component (TauA) (PDB:2X26)	K15553	sulfonate transport system substrate-binding protein
